episode_id,episode_idx,step,decision,true_distance_to_s0_m,gate_authority_d,gate_conf,gate_anchor_route_remaining_m,gate_anchor_close_streak,vlm_output
798,470,3201,forced,1.6073697805404663,1.5945898127981655,1.0,,,The next action is move forward 75 cm.
1118,646,3876,vetoed,2.8439576625823975,3.207499936468658,1.0,,,I think I should stop because I have finished the instruction.
1118,646,3886,vetoed,2.7758116722106934,3.1357352502220577,1.0,,,I think I should stop because I have finished the instruction.
1118,646,3896,vetoed,2.7290916442871094,3.0865192323396133,1.0,,,I think I should stop because I have finished the instruction.
1118,646,3906,vetoed,2.6831860542297363,3.0414163204864773,1.0,,,I think I should stop because I have finished the instruction.
1118,646,3916,accepted,2.634938955307007,2.9917992806217404,1.0,,,I think I should stop because I have finished the instruction.
141,95,3976,forced,1.6654144525527954,1.9014473630289008,1.0,,,The next action is move forward 75 cm.
523,324,3851,forced,1.2914395332336426,1.239756610804401,1.0,,,The next action is turn left 45 degree.
1643,961,2676,forced,1.518427848815918,1.5297277835753282,1.0,,,The next action is turn left 45 degree.
1644,962,2551,forced,1.2891936302185059,1.2999738651636243,1.0,,,The next action is turn left 45 degree.
1439,844,2326,forced,2.5410172939300537,2.7198592624138938,1.0,,,The next action is turn right 15 degree.
958,555,3026,forced,1.3252965211868286,1.3326732398983767,1.0,,,The next action is move forward 25 cm.
1153,669,2601,forced,2.2564966678619385,2.4571933143530034,1.0,,,The next action is move forward 75 cm.
1154,670,2951,forced,2.1865408420562744,2.3932349654619713,1.0,,,The next action is turn right 15 degree.
1006,579,3876,accepted,2.0200932025909424,2.267339212722696,1.0,,,I think I should stop because I have finished the instruction.
827,484,3326,forced,1.0528074502944946,1.0415091804896441,1.0,,,The next action is move forward 75 cm.
1189,696,3026,vetoed,4.0345330238342285,4.624559218444505,1.0,,,I think I should stop because I have finished the instruction.
1189,696,3561,forced,0.9594758152961731,0.9633949870640764,1.0,,,The next action is move forward 75 cm.
128,88,5351,forced,2.607029676437378,2.531420567004753,1.0,,,The next action is turn right 15 degree.
922,534,3301,vetoed,4.7392120361328125,6.3174149044309935,1.0,,,I think I should stop because I have finished the instruction.
922,534,3311,vetoed,4.694874286651611,6.299373861377729,1.0,,,I think I should stop because I have finished the instruction.
922,534,3321,vetoed,4.680720329284668,6.301012432669177,1.0,,,I think I should stop because I have finished the instruction.
922,534,3331,vetoed,4.658742427825928,6.294139919421653,1.0,,,I think I should stop because I have finished the instruction.
922,534,3341,vetoed,4.636650085449219,6.280753075560427,1.0,,,I think I should stop because I have finished the instruction.
922,534,3351,vetoed,4.612859725952148,6.270907856880538,1.0,,,I think I should stop because I have finished the instruction.
922,534,3361,vetoed,4.5927300453186035,6.2610677197793825,1.0,,,I think I should stop because I have finished the instruction.
922,534,3371,vetoed,4.571890354156494,6.245087031082981,1.0,,,I think I should stop because I have finished the instruction.
