episode_idx,neighbor_idx,episode_id,neighbor_episode_id,d_start,d_goal
5,354,9,583,0.4154278375340738,0.0
367,1038,602,1759,0.0,0.0
647,354,1119,583,0.4154278375340738,1.9000445857742634
89,288,129,460,1.3761276700770655,1.518230002727835
268,435,422,739,2.7077220060831686,0.0
1038,366,1759,601,0.0,0.0
205,807,314,1372,4.796474183765347,1.5100744423496864
88,288,128,460,1.3761276700770655,1.518230002727835
671,681,1155,1168,1.8225619512674929,0.0
688,783,1178,1336,1.1457069701516422,3.263960381726225
95,579,141,1006,2.562297376053732,2.9705538285809867
319,429,512,721,1.8600152642112397,1.3258318170721914
579,93,1006,139,2.9705538285809867,2.562297376053732
264,639,418,1108,0.0,1.5370118438026912
658,660,1139,1141,0.0,1.2706044258849263
310,792,500,1351,4.070338808836581,0.0
351,105,577,151,2.1182444340427997,0.0
539,198,930,307,1.2447253945848717,1.8550591598060575
669,681,1153,1168,1.8225619512674929,0.0
484,810,827,1375,0.0,5.151876788679495
581,93,1008,139,2.9705538285809867,2.562297376053732
646,354,1118,583,0.4154278375340738,1.9000445857742634
366,1038,601,1759,0.0,0.0
490,1038,854,1759,1.1457069701516422,2.779640172015868
888,276,1516,442,1.0458772479978629,3.5808155291507724
962,291,1644,472,4.023420484862159,0.0
815,951,1380,1633,2.0480508854476622,1.4155736953264721
961,291,1643,472,4.023420484862159,0.0
20,135,33,199,2.0480508854476622,1.4538269146297091
670,681,1154,1168,1.8225619512674929,0.0
696,120,1189,166,3.0657785363115346,1.4410888193403022
813,951,1378,1633,2.0480508854476622,1.4155736953264721
844,882,1439,1501,1.0736764048444423,0.0
189,696,286,1189,4.197713470836678,1.5741991978452605
783,687,1336,1177,3.263960381726225,1.1457069701516422
784,687,1337,1177,3.263960381726225,1.1457069701516422
889,276,1517,442,1.0458772479978629,3.5808155291507724
785,687,1338,1177,3.263960381726225,1.1457069701516422
1004,585,1713,1018,0.0,5.866419909065781
1062,930,1801,1579,0.0,2.859438424030492
86,942,126,1612,3.7928489732201727,0.0
271,66,428,94,1.8986708211699583,1.4683661857371386
324,615,523,1075,2.9427825159730667,7.02308565966092
470,546,798,943,0.0,3.2144402100027523
479,816,810,1381,1.1257258268931079,2.156553975098179
517,726,899,1240,1.6635526392903355,2.137203336155111
534,840,922,1435,3.5607222076247216,0.0
555,177,958,262,1.315950520459287,2.606541347804507
656,984,1137,1681,0.0,0.0
806,966,1368,1648,2.711250030697533,1.6923074692080111
814,951,1379,1633,2.0480508854476622,1.4155736953264721
829,225,1406,358,0.0,4.698904757216505
18,135,31,199,2.0480508854476622,1.4538269146297091
97,855,143,1462,0.0,2.5626074274198385
226,747,359,1279,2.649042666844433,3.913296992033628
228,990,361,1690,0.0,5.8283031921250235
233,132,366,193,1.2952343294362891,0.0
266,639,420,1108,0.0,1.5370118438026912
291,255,472,406,1.7083416718097806,2.222392843970136
304,177,494,262,5.5222457341491005,2.458379233653695
353,105,579,151,2.1182444340427997,0.0
376,534,629,922,1.693403480187302,3.9776400877963987
426,756,718,1288,3.949261047994956,1.8080115116047726
428,756,720,1288,3.949261047994956,1.8080115116047726
463,657,785,1138,2.06922357452453,1.630402430894574
476,144,807,214,3.032676930897263,1.3379564941105329
566,396,978,664,3.785998821175787,2.253368232526523
621,771,1084,1321,2.3842779412006836,1.7796906385345674
645,354,1117,583,0.4154278375340738,1.9000445857742634
679,612,1166,1069,0.0,0.0
705,0,1198,1,1.9526462848398507,0.0
733,111,1256,157,2.1027137933714197,1.9308865662204515
738,183,1264,277,0.0,0.0
833,615,1419,1075,2.634823185805011,3.4170973559895
885,462,1513,784,2.8347898242913585,2.06922357452453
895,882,1523,1501,1.915403659485128,2.813074727556179
960,291,1642,472,4.023420484862159,0.0
993,105,1699,151,0.0,0.0
1002,585,1711,1018,0.0,5.866419909065781
1003,585,1712,1018,0.0,5.866419909065781
4,354,8,583,0.4154278375340738,0.0
994,105,1700,151,0.0,0.0
368,1038,603,1759,0.0,0.0
295,45,476,73,3.060599773435791,2.3541932957572227
1040,366,1761,601,0.0,0.0
276,888,442,1516,3.5808155291507724,1.0458772479978629
427,756,719,1288,3.949261047994956,1.8080115116047726
680,612,1167,1069,0.0,0.0
19,135,32,199,2.0480508854476622,1.4538269146297091
489,1038,853,1759,1.1457069701516422,2.779640172015868
491,1038,855,1759,1.1457069701516422,2.779640172015868
344,381,564,634,1.9948395214283459,3.1087932890958774
187,447,281,754,1.833889631131758,1.2143430611049377
123,465,175,793,3.3148020731896723,0.0
498,222,868,352,4.763590187117838,0.0
93,579,139,1006,2.562297376053732,2.9705538285809867
653,336,1134,547,0.0,2.1683949350113916
87,288,127,460,1.3761276700770655,1.518230002727835
687,783,1177,1336,1.1457069701516422,3.263960381726225
355,3,584,7,0.0,0.4154278375340738
