frame_index,step,phase,hint,vlm_action,vlm_action_raw,arbitration,terminal_state,distance_to_start
0,0,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.021
1,5,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.019
2,10,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.020
3,15,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.023
4,20,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.029
5,25,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.036
6,30,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.046
7,35,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.053
8,40,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.059
9,45,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.063
10,50,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.066
11,55,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.069
12,60,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.077
13,65,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.087
14,70,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.093
15,75,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.097
16,80,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.100
17,85,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.102
18,90,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.103
19,95,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.112
20,100,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.120
21,105,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.128
22,110,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.140
23,115,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.156
24,120,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.181
25,125,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.211
26,130,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.252
27,135,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.288
28,140,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.323
29,145,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.364
30,150,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.412
31,155,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.452
32,160,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.495
33,165,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.535
34,170,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.576
35,175,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.620
36,180,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.663
37,185,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.701
38,190,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.745
39,195,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.785
