frame_index,step,phase,hint,vlm_action,vlm_action_raw,arbitration,terminal_state,distance_to_start
0,0,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.028
1,5,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.026
2,10,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.022
3,15,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.021
4,20,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.022
5,25,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.027
6,30,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.033
7,35,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.038
8,40,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.041
9,45,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.043
10,50,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.047
11,55,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.053
12,60,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.060
13,65,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.066
14,70,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.070
15,75,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.072
16,80,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.075
17,85,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.082
18,90,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.088
19,95,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.095
20,100,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.101
21,105,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.104
22,110,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.106
23,115,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.111
24,120,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.118
25,125,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.125
26,130,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.132
27,135,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.136
28,140,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.139
29,145,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.141
30,150,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.147
31,155,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.154
32,160,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.161
33,165,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.166
34,170,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.170
35,175,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.171
36,180,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.174
37,185,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.180
38,190,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.187
39,195,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.192
40,200,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.197
41,205,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.200
42,210,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.202
43,215,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.206
44,220,outbound,,VLM: turn right,The next action is turn right 15 degree.,,,0.212
45,225,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.219
46,230,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.228
47,235,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.246
48,240,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.270
49,245,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.297
50,250,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.328
51,255,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.364
52,260,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.397
53,265,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.431
54,270,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.471
55,275,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.510
56,280,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.548
57,285,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.588
58,290,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.627
59,295,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.664
60,300,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.703
61,305,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.737
62,310,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.750
63,315,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.753
64,320,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.753
65,325,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.757
66,330,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.763
67,335,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.768
68,340,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.773
69,345,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.777
70,350,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.780
71,355,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.784
72,360,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.792
