frame_index,step,phase,hint,vlm_action,vlm_action_raw,arbitration,terminal_state,distance_to_start
0,0,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.020
1,5,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.021
2,10,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.026
3,15,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.029
4,20,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.029
5,25,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.028
6,30,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.026
7,35,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.022
8,40,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.019
9,45,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.015
10,50,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.009
11,55,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.003
12,60,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.003
13,65,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.010
14,70,outbound,,VLM: turn left,The next action is turn left 45 degree.,,,0.015
15,75,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.016
16,80,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.014
17,85,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.015
18,90,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.019
19,95,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.025
20,100,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.031
21,105,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.036
22,110,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.043
23,115,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.048
24,120,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.051
25,125,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.056
26,130,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.068
27,135,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.095
28,140,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.133
29,145,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.178
