frame_index,step,phase,hint,vlm_action,vlm_action_raw,arbitration,terminal_state,distance_to_start
0,0,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.048
1,5,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.046
2,10,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.043
3,15,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.044
4,20,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.045
5,25,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.045
6,30,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.045
7,35,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.046
8,40,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.046
9,45,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.047
10,50,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.047
11,55,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.047
12,60,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.047
13,65,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.048
14,70,outbound,,VLM: turn right,The next action is turn right 45 degree.,,,0.048
15,75,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.048
16,80,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.048
17,85,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.050
18,90,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.051
19,95,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.053
20,100,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.056
21,105,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.058
22,110,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.059
23,115,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.067
24,120,outbound,,VLM: turn left,The next action is turn left 15 degree.,,,0.073
25,125,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.079
26,130,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.089
27,135,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.112
28,140,outbound,,VLM: forward,The next action is move forward 75 cm.,,,0.144
